asn_destino,asn_upstream,frequencia,pais_upstream
24158,9924,40509,TW
9919,4780,38773,TW
131596,17709,22507,TW
9924,3491,18174,HK
38841,9924,16686,TW
4780,9002,15472,Desconhecido
24154,17709,14443,TW
4780,2914,11835,Desconhecido
4780,6453,11765,Desconhecido
131591,17709,11636,TW
24164,9924,10029,TW
18049,4780,9815,TW
17421,3462,9448,TW
131602,4780,9360,TW
3462,9680,8129,TW
4780,3491,7287,HK
4780,6939,6869,Desconhecido
9674,4780,4558,TW
131596,17408,4240,TW
9922,17408,4140,TW
9676,7533,3963,TW
17408,6939,3952,Desconhecido
131611,9924,3864,TW
9311,17709,3307,TW
7482,17709,3302,TW
18182,9505,2966,TW
17809,6939,2962,Desconhecido
17709,4780,2887,TW
9922,4780,2872,TW
24163,9924,2514,TW
24165,9924,2137,TW
18429,9924,1991,TW
131602,9924,1976,TW
1659,17717,1693,TW
38841,6939,1689,Desconhecido
131628,3462,1598,TW
131627,17408,1582,TW
9924,6939,1577,Desconhecido
131634,4780,1462,TW
9676,7656,1453,TW
131627,4780,1354,TW
59268,139750,1321,HK
24155,17709,1268,TW
3462,6939,1248,Desconhecido
131645,17408,1214,TW
4780,9304,1158,HK
18419,17408,1146,TW
131645,6939,1108,Desconhecido
7532,9505,1103,TW
9924,9505,1087,TW
131596,10133,1034,TW
45250,9304,1006,HK
18046,9002,988,Desconhecido
18046,17408,937,TW
10229,10310,937,Desconhecido
18419,4780,900,TW
38042,134823,865,TW
9416,6939,864,Desconhecido
23675,13335,864,Desconhecido
18041,6939,849,Desconhecido
4782,3462,809,TW
63902,53587,801,Desconhecido
131584,3462,766,TW
18046,23764,742,HK
131142,17709,727,TW
18415,9924,722,TW
38854,21859,715,Desconhecido
9924,4637,699,HK
131628,9924,681,TW
131584,17709,662,TW
17413,134823,661,TW
9924,2914,645,Desconhecido
131600,17408,630,TW
131642,6939,616,Desconhecido
9671,4780,612,TW
208223,6939,600,Desconhecido
7532,32787,588,Desconhecido
18422,17408,584,TW
38851,17408,570,TW
9918,4780,570,TW
131584,17408,562,TW
18046,174,559,Desconhecido
17710,3462,559,TW
9924,9002,557,Desconhecido
7656,7533,542,TW
9505,1299,535,Desconhecido
38851,9416,533,TW
18412,9674,524,TW
131642,134823,524,TW
131607,17408,508,TW
10126,9505,497,TW
208223,44324,486,Desconhecido
131151,134823,480,TW
136462,4637,477,HK
18046,6939,469,Desconhecido
56913,396356,451,Desconhecido
208223,20473,445,Desconhecido
139065,133847,430,MY
18045,3462,427,TW
142005,3786,426,KR
9916,18185,424,TW
9416,9505,418,TW
9416,15412,415,Desconhecido
45250,9505,409,TW
24506,10310,408,Desconhecido
131618,21859,401,Desconhecido
18428,6939,393,Desconhecido
18182,6939,384,Desconhecido
17408,9505,371,TW
45761,4515,369,HK
49608,138915,358,HK
9505,174,357,Desconhecido
9924,9304,355,HK
131668,18041,351,TW
3462,3491,350,HK
18049,9924,341,TW
131634,9924,340,TW
9678,3491,337,HK
18046,4637,336,HK
9244,4637,336,HK
135596,9924,336,TW
3462,34549,334,Desconhecido
134094,9924,334,TW
1659,7539,328,TW
18042,9416,327,TW
17416,17408,327,TW
134823,23961,324,US
7536,21859,324,Desconhecido
9505,6939,322,Desconhecido
134823,2914,321,Desconhecido
38851,4780,313,TW
17809,4780,309,TW
10135,17408,309,TW
9918,3462,304,TW
7535,4780,302,TW
38851,18046,300,TW
3462,17639,299,PH
131626,4780,295,TW
38797,17408,286,TW
131143,4780,284,TW
9923,32595,276,Desconhecido
131644,6939,274,Desconhecido
3462,24482,267,SG
18422,6939,266,Desconhecido
9505,3356,266,Desconhecido
4783,9924,265,TW
9678,2914,264,Desconhecido
4781,9924,260,TW
131657,199524,254,Desconhecido
38797,10135,254,TW
131607,10133,252,TW
134094,51559,249,Desconhecido
3462,1103,247,Desconhecido
18182,45474,247,SG
131148,9924,244,TW
131596,24482,240,SG
131596,55720,240,MY
7483,13335,240,Desconhecido
63897,9002,239,Desconhecido
131677,4780,237,TW
136462,13335,237,Desconhecido
7483,3491,233,HK
38841,24482,232,SG
131149,174,232,Desconhecido
4780,9505,230,TW
3462,2914,228,Desconhecido
38843,13335,228,Desconhecido
134823,6939,227,Desconhecido
9244,3491,226,HK
63897,45250,226,US
207705,6939,224,Desconhecido
9924,24482,223,SG
203472,7720,220,US
3462,37721,217,Desconhecido
131601,17709,217,TW
134823,3491,216,HK
63902,18186,215,Desconhecido
3462,58453,214,HK
18419,6939,214,Desconhecido
215256,6939,214,Desconhecido
38841,55720,213,MY
131642,3491,212,HK
38843,3462,210,TW
131635,9924,210,TW
142005,2914,209,Desconhecido
131630,6939,209,Desconhecido
7656,9676,208,TW
18183,9264,205,TW
17709,4637,205,HK
205329,6939,204,Desconhecido
7539,6461,201,Desconhecido
134823,10099,200,HK
210445,48231,198,Desconhecido
131584,18046,197,TW
131588,3462,195,TW
214841,204844,192,Desconhecido
18411,17408,185,TW
55789,6939,184,Desconhecido
213617,34927,184,Desconhecido
56179,4780,183,TW
9244,9584,182,HK
212359,57429,180,Desconhecido
18180,55933,178,HK
131623,131634,174,TW
9244,6939,172,Desconhecido
7478,9505,172,TW
45761,198949,172,Desconhecido
4780,4635,171,HK
18422,4780,171,TW
9216,4780,171,TW
131143,9924,168,TW
153891,140570,165,HK
212425,212279,165,Desconhecido
131660,3462,164,TW
131646,9002,163,Desconhecido
17420,4780,162,TW
142005,3491,162,HK
150137,4637,160,HK
131660,9680,160,TW
131149,6939,158,Desconhecido
9924,38001,157,SG
57429,38856,156,TW
9267,38254,156,TW
210384,53667,156,Desconhecido
18413,9919,155,TW
212360,38856,154,TW
131663,17408,153,TW
3462,6461,152,Desconhecido
204934,34872,150,Desconhecido
131596,137409,148,AU
3462,48362,146,Desconhecido
7483,4229,145,Desconhecido
18413,9924,144,TW
7536,13335,144,Desconhecido
131620,17408,144,TW
152611,13335,144,Desconhecido
18183,7539,143,TW
150770,18186,143,Desconhecido
131657,18423,137,TW
205417,20473,137,Desconhecido
7483,60068,136,Desconhecido
131613,21859,135,Desconhecido
150768,17408,133,TW
131632,9924,132,TW
38254,6939,132,Desconhecido
4780,24482,131,SG
17408,3462,129,TW
142005,198949,129,Desconhecido
203472,207705,129,Desconhecido
18427,18186,128,Desconhecido
7656,10133,127,TW
131666,152623,126,TW
63893,18046,126,TW
131630,32595,124,Desconhecido
131655,3462,123,TW
4781,4780,122,TW
208223,215828,122,Desconhecido
131587,17709,120,TW
204934,20473,120,Desconhecido
131642,131658,119,TW
152616,204844,118,Desconhecido
136462,24482,117,SG
131273,174,117,Desconhecido
38837,4780,117,TW
9922,6939,116,Desconhecido
18181,4780,116,TW
45250,174,116,Desconhecido
141742,6939,115,Desconhecido
131646,54994,114,Desconhecido
210384,34927,114,Desconhecido
9924,58453,113,HK
131587,3462,113,TW
17809,24482,111,SG
17809,38855,111,TW
131662,20473,111,Desconhecido
210932,6939,111,Desconhecido
142005,9318,110,KR
24168,18182,110,TW
214821,38254,110,TW
131149,2914,109,Desconhecido
152626,59105,109,JP
38254,18423,107,TW
9922,24482,106,SG
131657,13335,105,Desconhecido
131636,9924,105,TW
205592,204844,105,Desconhecido
9922,55720,104,MY
10135,3491,104,HK
134823,3462,104,TW
17408,24482,103,SG
152622,134823,103,TW
3462,50300,101,Desconhecido
18046,24482,101,SG
131636,4780,100,TW
17408,15412,99,Desconhecido
142005,3356,99,Desconhecido
131584,9002,97,Desconhecido
