asn_destino,asn_upstream,frequencia
24158,9924,40509
9919,4780,38773
131596,17709,22507
9924,3491,18174
38841,9924,16686
4780,9002,15472
24154,17709,14443
4780,2914,11835
4780,6453,11765
131591,17709,11636
24164,9924,10029
18049,4780,9815
17421,3462,9448
131602,4780,9360
3462,9680,8129
4780,3491,7287
4780,6939,6869
9674,4780,4558
131596,17408,4240
9922,17408,4140
9676,7533,3963
17408,6939,3952
131611,9924,3864
9311,17709,3307
7482,17709,3302
18182,9505,2966
17809,6939,2962
17709,4780,2887
9922,4780,2872
24163,9924,2514
24165,9924,2137
18429,9924,1991
131602,9924,1976
1659,17717,1693
38841,6939,1689
131628,3462,1598
131627,17408,1582
9924,6939,1577
131634,4780,1462
9676,7656,1453
131627,4780,1354
59268,139750,1321
24155,17709,1268
3462,6939,1248
131645,17408,1214
4780,9304,1158
18419,17408,1146
131645,6939,1108
7532,9505,1103
9924,9505,1087
131596,10133,1034
45250,9304,1006
18046,9002,988
18046,17408,937
10229,10310,937
18419,4780,900
38042,134823,865
9416,6939,864
23675,13335,864
18041,6939,849
4782,3462,809
63902,53587,801
131584,3462,766
18046,23764,742
131142,17709,727
18415,9924,722
38854,21859,715
9924,4637,699
131628,9924,681
131584,17709,662
17413,134823,661
9924,2914,645
131600,17408,630
131642,6939,616
9671,4780,612
208223,6939,600
7532,32787,588
18422,17408,584
38851,17408,570
9918,4780,570
131584,17408,562
18046,174,559
17710,3462,559
9924,9002,557
7656,7533,542
9505,1299,535
38851,9416,533
18412,9674,524
131642,134823,524
131607,17408,508
10126,9505,497
208223,44324,486
131151,134823,480
136462,4637,477
18046,6939,469
56913,396356,451
208223,20473,445
139065,133847,430
18045,3462,427
142005,3786,426
9916,18185,424
9416,9505,418
9416,15412,415
45250,9505,409
24506,10310,408
131618,21859,401
18428,6939,393
18182,6939,384
17408,9505,371
45761,4515,369
49608,138915,358
9505,174,357
9924,9304,355
131668,18041,351
3462,3491,350
18049,9924,341
131634,9924,340
9678,3491,337
18046,4637,336
9244,4637,336
135596,9924,336
3462,34549,334
134094,9924,334
1659,7539,328
18042,9416,327
17416,17408,327
134823,23961,324
7536,21859,324
9505,6939,322
134823,2914,321
38851,4780,313
17809,4780,309
10135,17408,309
9918,3462,304
7535,4780,302
38851,18046,300
3462,17639,299
131626,4780,295
38797,17408,286
131143,4780,284
9923,32595,276
131644,6939,274
3462,24482,267
18422,6939,266
9505,3356,266
4783,9924,265
9678,2914,264
4781,9924,260
131657,199524,254
38797,10135,254
131607,10133,252
134094,51559,249
3462,1103,247
18182,45474,247
131148,9924,244
131596,24482,240
131596,55720,240
7483,13335,240
63897,9002,239
131677,4780,237
136462,13335,237
7483,3491,233
38841,24482,232
131149,174,232
4780,9505,230
3462,2914,228
38843,13335,228
134823,6939,227
9244,3491,226
63897,45250,226
207705,6939,224
9924,24482,223
203472,7720,220
3462,37721,217
131601,17709,217
134823,3491,216
63902,18186,215
3462,58453,214
18419,6939,214
215256,6939,214
38841,55720,213
131642,3491,212
38843,3462,210
131635,9924,210
142005,2914,209
131630,6939,209
7656,9676,208
18183,9264,205
17709,4637,205
205329,6939,204
7539,6461,201
134823,10099,200
210445,48231,198
131584,18046,197
131588,3462,195
214841,204844,192
18411,17408,185
55789,6939,184
213617,34927,184
56179,4780,183
9244,9584,182
212359,57429,180
18180,55933,178
131623,131634,174
9244,6939,172
7478,9505,172
45761,198949,172
4780,4635,171
18422,4780,171
9216,4780,171
131143,9924,168
153891,140570,165
212425,212279,165
131660,3462,164
131646,9002,163
17420,4780,162
142005,3491,162
150137,4637,160
131660,9680,160
131149,6939,158
9924,38001,157
57429,38856,156
9267,38254,156
210384,53667,156
18413,9919,155
212360,38856,154
131663,17408,153
3462,6461,152
204934,34872,150
131596,137409,148
3462,48362,146
7483,4229,145
18413,9924,144
7536,13335,144
131620,17408,144
152611,13335,144
18183,7539,143
150770,18186,143
131657,18423,137
205417,20473,137
7483,60068,136
131613,21859,135
150768,17408,133
131632,9924,132
38254,6939,132
4780,24482,131
17408,3462,129
142005,198949,129
203472,207705,129
18427,18186,128
7656,10133,127
131666,152623,126
63893,18046,126
131630,32595,124
131655,3462,123
4781,4780,122
208223,215828,122
131587,17709,120
204934,20473,120
131642,131658,119
152616,204844,118
136462,24482,117
131273,174,117
38837,4780,117
9922,6939,116
18181,4780,116
45250,174,116
141742,6939,115
131646,54994,114
210384,34927,114
9924,58453,113
131587,3462,113
17809,24482,111
17809,38855,111
131662,20473,111
210932,6939,111
142005,9318,110
24168,18182,110
214821,38254,110
131149,2914,109
152626,59105,109
38254,18423,107
9922,24482,106
131657,13335,105
131636,9924,105
205592,204844,105
9922,55720,104
